date,year,home_team,away_team,elo_diff,host_advantage,home_is_host,away_is_host,label,tournament
2018-06-19,2018,Poland,Senegal,5.483073645410968,0,0,0,A,FIFA World Cup
2018-06-19,2018,Russia,Egypt,13.186997335608794,1,1,0,H,FIFA World Cup
2018-06-20,2018,Portugal,Morocco,209.70328979956184,0,0,0,H,FIFA World Cup
2018-06-20,2018,Uruguay,Saudi Arabia,193.14549508433424,0,0,0,H,FIFA World Cup
2018-06-20,2018,Iran,Spain,-141.11121009222506,0,0,0,A,FIFA World Cup
2018-06-21,2018,Denmark,Australia,20.53132003552855,0,0,0,D,FIFA World Cup
2018-06-21,2018,France,Peru,113.54733583443044,0,0,0,H,FIFA World Cup
2018-06-21,2018,Argentina,Croatia,102.71663379475922,0,0,0,A,FIFA World Cup
2018-06-22,2018,Brazil,Costa Rica,259.6273805621581,0,0,0,H,FIFA World Cup
2018-06-22,2018,Nigeria,Iceland,-65.48964672961597,0,0,0,H,FIFA World Cup
2018-06-22,2018,Serbia,Switzerland,-103.45184795099453,0,0,0,A,FIFA World Cup
2018-06-23,2018,Belgium,Tunisia,178.13158637440415,0,0,0,H,FIFA World Cup
2018-06-23,2018,South Korea,Mexico,-155.3467305663121,0,0,0,A,FIFA World Cup
2018-06-23,2018,Germany,Sweden,218.6884844408496,0,0,0,H,FIFA World Cup
2018-06-24,2018,England,Panama,239.9682478504585,0,0,0,H,FIFA World Cup
2018-06-24,2018,Japan,Senegal,-2.012639528314139,0,0,0,D,FIFA World Cup
2018-06-24,2018,Poland,Colombia,-80.60832927077286,0,0,0,A,FIFA World Cup
2018-06-25,2018,Russia,Uruguay,-116.43695488050821,1,1,0,A,FIFA World Cup
2018-06-25,2018,Saudi Arabia,Egypt,-38.2343749365923,0,0,0,H,FIFA World Cup
2018-06-25,2018,Spain,Morocco,292.1088970721064,0,0,0,D,FIFA World Cup
2018-06-25,2018,Iran,Portugal,-101.71409515775554,0,0,0,D,FIFA World Cup
2018-06-26,2018,Australia,Peru,-37.850859374849506,0,0,0,A,FIFA World Cup
2018-06-26,2018,Denmark,France,-160.6016243268632,0,0,0,D,FIFA World Cup
2018-06-26,2018,Nigeria,Argentina,-183.8799173236241,0,0,0,A,FIFA World Cup
2018-06-26,2018,Iceland,Croatia,-176.96360353815953,0,0,0,A,FIFA World Cup
2018-06-27,2018,South Korea,Germany,-275.6762107081604,0,0,0,H,FIFA World Cup
2018-06-27,2018,Mexico,Sweden,139.2711763029879,0,0,0,A,FIFA World Cup
2018-06-27,2018,Serbia,Brazil,-329.839457972078,0,0,0,A,FIFA World Cup
2018-06-27,2018,Switzerland,Costa Rica,83.65841285041301,0,0,0,D,FIFA World Cup
